ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"88.135.44.219","elite","AS57391","IR","Laser Company Ltd","90","Laser Company Ltd","4153","socks4","2599","1","2023-12-12T07:31:07.726Z","89","4529","5086"
"14.232.161.29","elite","AS45899","VN","VNPT","215","Vietnam Posts and Telecommunications Group","10801","socks4","5095","1","2023-12-12T07:31:04.227Z","72","3724","5190"
"110.78.138.125","elite","AS131090","TH","CAT-BB","195","N/A","8080","socks4","3008","2","2023-12-12T07:31:04.116Z","85","4312","5098"
"185.162.228.48","elite","AS209242","GB","Cloudflare London, LLC","13","Softconstruct Limited","80","socks4","3011","1","2023-12-12T07:31:04.115Z","100","5195","5195"
"115.127.121.194","elite","AS24342","BD","BRACNet Limited","187","BRACNet Limited","5678","socks4","4500","1","2023-12-12T07:31:04.119Z","97","5070","5219"
"203.76.103.62","elite","AS23688","BD","Link3 Technologies Limited","191","Corporate Subscriber","4145","socks4","4596","1","2023-12-12T07:31:04.118Z","97","5068","5221"
"180.211.191.38","elite","AS45588","BD","Bangladesh Telegraph & Telephone Board","183","N/A","5678","socks4","1019","1","2023-12-12T07:31:04.316Z","96","5016","5214"
"119.13.125.238","elite","AS136907","HK","Huawei International Pte. LTD","287","N/A","1080","socks5","1915","1","2023-12-12T07:31:04.112Z","97","5060","5203"
"104.19.235.10","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4785","1","2023-12-12T07:31:01.306Z","100","5118","5118"
"217.115.115.253","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","25","Webworld","56792","socks5","3496","1","2023-12-12T07:31:01.408Z","95","4911","5180"
"190.104.26.227","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","195","Telefónica Celular de Bolivia S.A","33638","socks4","3690","1","2023-12-12T07:31:01.312Z","100","5146","5153"
"110.77.171.70","elite","AS131090","TH","CAT-BB","227","N/A","8080","socks4","4997","1","2023-12-12T07:31:00.720Z","66","3396","5108"
"24.147.144.221","elite","AS7015","US","Comcast Cable Communications","105","Comcast Cable Communications Holdings, Inc","15280","socks5","5087","1","2023-12-12T07:31:00.810Z","100","5045","5049"
"45.76.9.121","elite","AS20473","US","The Constant Company","89","Vultr Holdings, LLC","11324","socks5","3403","2","2023-12-12T07:31:00.811Z","97","4947","5097"
"31.13.33.4","elite","AS8732","RU","JSC Comcor","92","Comcor","8080","socks5","5087","1","2023-12-12T07:31:00.724Z","100","5102","5108"
"202.159.30.153","elite","AS9340","ID","PT IndoInternet","174","N/A","443","socks4","612","2","2023-12-12T07:31:00.823Z","99","5079","5132"
"37.19.65.75","elite","AS7018","US","AT&T Services, Inc.","91","siaIT","5432","socks5","4094","1","2023-12-12T07:31:00.726Z","99","5004","5077"
"91.148.233.54","elite","AS50525","DE","Privado Networks AG","83","Privado Networks Frankfurt","8081","socks4","5011","1","2023-12-12T07:30:57.322Z","100","5157","5162"
"118.174.219.171","elite","AS23969","TH","TOT Public Company Limited","161","TOT Public Company Limited","4153","socks4","3789","1","2023-12-12T07:30:57.619Z","87","4470","5157"
"185.36.132.223","elite","AS199752","NL","Go-Trex Internet Solution Partner","91","Go-Trex","9050","socks5","2004","1","2023-12-12T07:30:57.409Z","100","5118","5121"
"117.202.20.69","elite","AS9829","IN","BSNL Internet","194","NIB","1088","socks4","4804","1","2023-12-12T07:30:57.413Z","97","4914","5085"
